A1,,,,,,,,,,
time,accx,accy,accz,gyrox,gyroy,gyroz,w1,w2,w3,w4
55:59.5,-0.12,0.24,9.48,0.125,-0.0625,0,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.09,0.26,9.55,0.125,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.22,9.52,0.0625,-0.125,0.0625,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.09,0.22,9.51,0.125,-0.125,0,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.25,9.5,0.0625,0.125,0,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.24,9.51,0.0625,0,-0.125,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.24,9.51,-0.125,-0.25,0.25,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.23,9.5,-0.125,0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.24,9.48,0,0,0.125,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.1,0.24,9.46,0.0625,0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.1,0.25,9.48,0.0625,-0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.23,9.51,0.0625,-0.1875,-0.0625,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.11,0.22,9.53,0,-0.0625,-0.0625,-0.009,0.9999,0.0125,0.0054
55:59.6,-0.1,0.22,9.5,-0.1875,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:59.7,-0.11,0.23,9.51,-0.125,-0.0625,0.0625,-0.009,0.9999,0.0125,0.0054
55:59.7,-0.1,0.23,9.47,0,-0.125,-0.0625,-0.009,0.9999,0.0125,0.0054
55:59.7,-0.11,0.23,9.51,0,-0.125,-0.0625,-0.009,0.9999,0.0125,0.0054
55:59.7,-0.1,0.23,9.5,0.0625,0.0625,0,-0.009,0.9999,0.0125,0.0054
